scenario_id,domain,users,concurrent_users,storage_size_gb,daily_growth_gb,data_types,read_intensity,write_intensity,latency_ms,availability_pct,rto_hours,rpo_hours,retention_years,compliance,analytics_flag,budget_tier,backup_frequency_per_week,realtime_required,ml_required,streaming_required,profile_read_category,profile_write_category,profile_growth_category,profile_scale_category,detected_problems,problem_count,has_high_availability_req,has_high_growth,has_cost_pressure,all_technique_ids,required_technique_ids,recommendation_count,top_technique,has_caching,has_partitioning,has_sharding,has_tiered_storage,has_object_storage,has_columnar,baseline_storage_gb,optimized_storage_gb,storage_reduction_pct,baseline_cost_usd,optimized_cost_usd,cost_reduction_pct,baseline_latency_ms,optimized_latency_ms,latency_improvement_pct,architecture_services,component_count
gaming_0000,gaming,208643,21503,31981.9,626.6,"[""LOGS"", ""TIME_SERIES"", ""CLICKSTREAM""]",HIGH,HIGH,50.0,99.99,2.0,0.25,3.0,"[""NONE""]",True,HIGH,7,True,False,False,HIGH,HIGH,HIGH,MEDIUM,"[""HIGH_AVAILABILITY_REQUIREMENT"", ""HIGH_STORAGE_GROWTH"", ""HIGH_READ_LATENCY"", ""HIGH_ANALYTICS_WORKLOAD"", ""DISASTER_RECOVERY_REQUIREMENT"", ""HIGH_WRITE_PRESSURE"", ""HOT_COLD_DATA_MIX"", ""QUERY_PERFORMANCE_DEGRADATION"", ""MAINTENANCE_BURDEN""]",9,True,True,False,"[""replication"", ""materialized_views"", ""partitioning"", ""lifecycle_management"", ""tiered_storage"", ""columnar_storage"", ""data_aggregation"", ""parquet_format"", ""indexing"", ""caching"", ""data_pruning"", ""compression"", ""deduplication"", ""schema_optimization"", ""query_optimization"", ""object_storage"", ""sharding"", ""chunking"", ""archiving""]","[""replication"", ""materialized_views""]",19,replication,True,True,True,True,True,True,31981.9,7798.5,75.6,735.58,90.46,87.7,50.0,11.6,76.8,"[""Amazon RDS for PostgreSQL (sharded)"", ""Amazon S3"", ""Apache Parquet / DuckDB"", ""Amazon ElastiCache (Redis)"", ""Amazon S3 Glacier Deep Archive""]",5
iot_0001,iot,9225596,849121,737793.8,3935.0,"[""SENSOR_DATA"", ""TIME_SERIES"", ""LOGS""]",MEDIUM,HIGH,500.0,99.9,1.0,0.25,1.0,"[""NONE""]",True,HIGH,7,False,True,False,HIGH,HIGH,EXTREME,HIGH,"[""EXTREME_STORAGE_GROWTH"", ""HIGH_ANALYTICS_WORKLOAD"", ""HIGH_AVAILABILITY_REQUIREMENT"", ""DISASTER_RECOVERY_REQUIREMENT"", ""SCALABILITY_PRESSURE"", ""HIGH_WRITE_PRESSURE"", ""COST_OVERRUN_RISK"", ""MAINTENANCE_BURDEN""]",8,True,True,False,"[""replication"", ""sharding"", ""parquet_format"", ""object_storage"", ""compression"", ""deduplication"", ""columnar_storage"", ""data_aggregation"", ""materialized_views"", ""partitioning"", ""tiered_storage"", ""lifecycle_management"", ""data_pruning"", ""chunking"", ""caching"", ""archiving""]","[""replication"", ""sharding"", ""parquet_format"", ""object_storage"", ""compression"", ""deduplication"", ""tiered_storage"", ""lifecycle_management"", ""data_pruning"", ""chunking"", ""archiving""]",16,replication,True,True,True,True,True,True,737793.8,209681.9,71.6,16969.26,2432.31,85.7,500.0,101.6,79.7,"[""Amazon RDS for PostgreSQL (sharded)"", ""Amazon Redshift"", ""Amazon S3"", ""Amazon ElastiCache (Redis)"", ""Amazon S3 Glacier Deep Archive""]",5
healthcare_0002,healthcare,17947,1981,95898.3,317.7,"[""DOCUMENTS"", ""IMAGES"", ""TEXT""]",MEDIUM,MEDIUM,200.0,99.9,4.0,1.0,7.0,"[""HIPAA""]",False,MEDIUM,28,False,True,False,MEDIUM,HIGH,MODERATE,MEDIUM,"[""HIGH_AVAILABILITY_REQUIREMENT"", ""COMPLIANCE_REQUIREMENT"", ""SECURITY_EXPOSURE"", ""MODERATE_STORAGE_GROWTH"", ""HIGH_WRITE_PRESSURE"", ""LONG_TERM_RETENTION"", ""HOT_COLD_DATA_MIX"", ""DISASTER_RECOVERY_REQUIREMENT""]",8,True,False,False,"[""archiving"", ""lifecycle_management"", ""tiered_storage"", ""replication"", ""data_pruning"", ""compression"", ""deduplication"", ""partitioning"", ""object_storage"", ""chunking"", ""sharding"", ""parquet_format""]",[],12,archiving,False,True,True,True,True,False,95898.3,22363.1,76.7,2205.66,259.41,88.2,200.0,80.0,60.0,"[""Amazon S3 Glacier Deep Archive"", ""Amazon S3"", ""Amazon RDS for PostgreSQL (sharded)"", ""Apache Parquet / DuckDB""]",4
gaming_0003,gaming,5379805,713113,24277.3,338.6,"[""LOGS"", ""TIME_SERIES"", ""CLICKSTREAM""]",HIGH,MEDIUM,50.0,99.999,1.0,0.08333333333333333,2.0,"[""NONE""]",True,MEDIUM,3,False,False,True,HIGH,HIGH,MODERATE,HIGH,"[""HIGH_AVAILABILITY_REQUIREMENT"", ""HIGH_READ_LATENCY"", ""HIGH_ANALYTICS_WORKLOAD"", ""DISASTER_RECOVERY_REQUIREMENT"", ""SCALABILITY_PRESSURE"", ""MODERATE_STORAGE_GROWTH"", ""HIGH_WRITE_PRESSURE"", ""HOT_COLD_DATA_MIX"", ""QUERY_PERFORMANCE_DEGRADATION""]",9,True,False,False,"[""replication"", ""caching"", ""materialized_views"", ""partitioning"", ""columnar_storage"", ""data_aggregation"", ""parquet_format"", ""indexing"", ""object_storage"", ""data_pruning"", ""compression"", ""deduplication"", ""lifecycle_management"", ""tiered_storage"", ""schema_optimization"", ""query_optimization"", ""sharding"", ""chunking"", ""archiving""]","[""replication"", ""caching"", ""materialized_views""]",19,replication,True,True,True,True,True,True,24277.3,5876.7,75.8,558.38,68.17,87.8,50.0,11.6,76.8,"[""Amazon ElastiCache (Redis)"", ""Amazon RDS for PostgreSQL (sharded)"", ""Amazon Redshift"", ""Amazon S3"", ""Amazon S3 Glacier Deep Archive""]",5
ai_startup_0004,ai_startup,759773,45468,211634.7,1225.1,"[""EMBEDDINGS"", ""ML_FEATURES"", ""IMAGES""]",MEDIUM,HIGH,50.0,99.99,1.0,1.0,5.0,"[""GDPR""]",True,MEDIUM,14,False,False,True,MEDIUM,HIGH,HIGH,MEDIUM,"[""HIGH_AVAILABILITY_REQUIREMENT"", ""HIGH_STORAGE_GROWTH"", ""HIGH_ANALYTICS_WORKLOAD"", ""DISASTER_RECOVERY_REQUIREMENT"", ""COMPLIANCE_REQUIREMENT"", ""SECURITY_EXPOSURE"", ""HIGH_WRITE_PRESSURE"", ""LONG_TERM_RETENTION"", ""HOT_COLD_DATA_MIX"", ""COST_OVERRUN_RISK"", ""MAINTENANCE_BURDEN""]",11,True,True,False,"[""tiered_storage"", ""archiving"", ""lifecycle_management"", ""replication"", ""compression"", ""parquet_format"", ""data_pruning"", ""deduplication"", ""columnar_storage"", ""data_aggregation"", ""materialized_views"", ""object_storage"", ""partitioning"", ""sharding"", ""chunking""]","[""replication""]",15,tiered_storage,False,True,True,True,True,True,211634.7,53154.0,74.9,4867.6,616.59,87.3,50.0,20.0,60.0,"[""Amazon S3"", ""Amazon S3 Glacier Deep Archive"", ""Apache Parquet / DuckDB"", ""Amazon RDS for PostgreSQL (sharded)""]",4
iot_0005,iot,664842,80825,20809.7,396.2,"[""SENSOR_DATA"", ""TIME_SERIES"", ""LOGS""]",MEDIUM,HIGH,500.0,99.9,1.0,1.0,5.0,"[""NONE""]",True,MEDIUM,1,False,False,True,HIGH,HIGH,MODERATE,HIGH,"[""HIGH_ANALYTICS_WORKLOAD"", ""HIGH_AVAILABILITY_REQUIREMENT"", ""DISASTER_RECOVERY_REQUIREMENT"", ""SCALABILITY_PRESSURE"", ""MODERATE_STORAGE_GROWTH"", ""HIGH_WRITE_PRESSURE"", ""LONG_TERM_RETENTION"", ""HOT_COLD_DATA_MIX""]",8,True,False,False,"[""replication"", ""archiving"", ""lifecycle_management"", ""tiered_storage"", ""parquet_format"", ""object_storage"", ""data_pruning"", ""compression"", ""deduplication"", ""columnar_storage"", ""data_aggregation"", ""materialized_views"", ""partitioning"", ""sharding"", ""caching"", ""chunking""]","[""replication""]",16,replication,True,True,True,True,True,True,20809.7,6251.0,70.0,478.62,72.51,84.8,500.0,101.6,79.7,"[""Amazon S3 Glacier Deep Archive"", ""Amazon S3"", ""Apache Parquet / DuckDB"", ""Amazon RDS for PostgreSQL (sharded)"", ""Amazon ElastiCache (Redis)""]",5
saas_0006,saas,18943,1762,9293.7,79.3,"[""TEXT"", ""DOCUMENTS"", ""TRANSACTIONS""]",MEDIUM,LOW,100.0,99.99,8.0,0.5,3.0,"[""NONE""]",False,MEDIUM,14,False,False,False,MEDIUM,LOW,MEDIUM,LOW,"[""HIGH_AVAILABILITY_REQUIREMENT"", ""HOT_COLD_DATA_MIX"", ""LARGE_TRANSACTIONAL_DATASET"", ""DISASTER_RECOVERY_REQUIREMENT"", ""SECURITY_EXPOSURE""]",5,True,False,False,"[""replication"", ""data_pruning"", ""indexing"", ""schema_optimization"", ""query_optimization"", ""compression"", ""deduplication"", ""lifecycle_management"", ""tiered_storage"", ""partitioning"", ""sharding"", ""archiving""]","[""replication""]",12,replication,False,True,True,True,False,False,9293.7,2944.2,68.3,213.76,34.15,84.0,100.0,4.0,96.0,"[""Amazon S3"", ""Amazon RDS for PostgreSQL (sharded)"", ""Amazon S3 Glacier Deep Archive""]",3
iot_0007,iot,1365926,191983,1892235.2,6395.1,"[""SENSOR_DATA"", ""TIME_SERIES"", ""LOGS""]",MEDIUM,HIGH,100.0,99.9,4.0,0.08333333333333333,3.0,"[""NONE""]",True,HIGH,7,False,False,True,HIGH,HIGH,EXTREME,HIGH,"[""EXTREME_STORAGE_GROWTH"", ""HIGH_READ_LATENCY"", ""HIGH_ANALYTICS_WORKLOAD"", ""HIGH_AVAILABILITY_REQUIREMENT"", ""DISASTER_RECOVERY_REQUIREMENT"", ""SCALABILITY_PRESSURE"", ""HIGH_WRITE_PRESSURE"", ""HOT_COLD_DATA_MIX"", ""COST_OVERRUN_RISK"", ""QUERY_PERFORMANCE_DEGRADATION"", ""MAINTENANCE_BURDEN""]",11,True,True,False,"[""replication"", ""tiered_storage"", ""sharding"", ""caching"", ""materialized_views"", ""compression"", ""lifecycle_management"", ""parquet_format"", ""partitioning"", ""object_storage"", ""columnar_storage"", ""data_aggregation"", ""data_pruning"", ""deduplication"", ""indexing"", ""schema_optimization"", ""query_optimization"", ""chunking"", ""archiving""]","[""replication"", ""tiered_storage"", ""sharding"", ""compression"", ""lifecycle_management"", ""parquet_format"", ""object_storage"", ""data_pruning"", ""deduplication"", ""chunking"", ""archiving""]",19,replication,True,True,True,True,True,True,1892235.2,552882.1,70.8,43521.41,6413.43,85.3,100.0,21.6,78.4,"[""Amazon S3"", ""Amazon RDS for PostgreSQL (sharded)"", ""Amazon ElastiCache (Redis)"", ""Apache Parquet / DuckDB"", ""Amazon S3 Glacier Deep Archive""]",5
fintech_0008,fintech,1191110,151311,5585.2,15.7,"[""TRANSACTIONS"", ""LOGS""]",MEDIUM,MEDIUM,100.0,99.999,0.16666666666666666,0.08333333333333333,10.0,"[""PCI_DSS""]",True,HIGH,28,False,False,False,HIGH,MEDIUM,MEDIUM,HIGH,"[""HIGH_AVAILABILITY_REQUIREMENT"", ""HIGH_READ_LATENCY"", ""HIGH_ANALYTICS_WORKLOAD"", ""DISASTER_RECOVERY_REQUIREMENT"", ""COMPLIANCE_REQUIREMENT"", ""SCALABILITY_PRESSURE"", ""SECURITY_EXPOSURE"", ""QUERY_PERFORMANCE_DEGRADATION"", ""LONG_TERM_RETENTION"", ""HOT_COLD_DATA_MIX"", ""LARGE_TRANSACTIONAL_DATASET""]",11,True,False,False,"[""replication"", ""caching"", ""materialized_views"", ""indexing"", ""partitioning"", ""columnar_storage"", ""data_aggregation"", ""schema_optimization"", ""query_optimization"", ""data_pruning"", ""archiving"", ""lifecycle_management"", ""tiered_storage"", ""parquet_format"", ""object_storage"", ""compression"", ""deduplication"", ""sharding""]","[""replication""]",18,replication,True,True,True,True,True,True,5585.2,1353.2,75.8,128.46,15.7,87.8,100.0,21.6,78.4,"[""Amazon ElastiCache (Redis)"", ""Amazon RDS for PostgreSQL (sharded)"", ""Apache Parquet / DuckDB"", ""Amazon S3 Glacier Deep Archive"", ""Amazon S3""]",5
ecommerce_0009,ecommerce,821232,53366,155335.9,471.0,"[""TRANSACTIONS"", ""IMAGES"", ""CLICKSTREAM""]",HIGH,MEDIUM,200.0,99.99,0.5,0.5,5.0,"[""PCI_DSS""]",True,HIGH,21,False,False,False,HIGH,HIGH,MODERATE,HIGH,"[""HIGH_AVAILABILITY_REQUIREMENT"", ""HIGH_ANALYTICS_WORKLOAD"", ""DISASTER_RECOVERY_REQUIREMENT"", ""COMPLIANCE_REQUIREMENT"", ""SCALABILITY_PRESSURE"", ""SECURITY_EXPOSURE"", ""MODERATE_STORAGE_GROWTH"", ""HIGH_WRITE_PRESSURE"", ""LONG_TERM_RETENTION"", ""HOT_COLD_DATA_MIX"", ""LARGE_TRANSACTIONAL_DATASET""]",11,True,False,False,"[""replication"", ""data_pruning"", ""archiving"", ""lifecycle_management"", ""tiered_storage"", ""parquet_format"", ""object_storage"", ""partitioning"", ""compression"", ""deduplication"", ""columnar_storage"", ""data_aggregation"", ""materialized_views"", ""indexing"", ""schema_optimization"", ""query_optimization"", ""sharding"", ""caching"", ""chunking""]","[""replication""]",19,replication,True,True,True,True,True,True,155335.9,41666.5,73.2,3572.73,483.33,86.5,200.0,41.6,79.2,"[""Amazon S3 Glacier Deep Archive"", ""Amazon S3"", ""Apache Parquet / DuckDB"", ""Amazon RDS for PostgreSQL (sharded)"", ""Amazon ElastiCache (Redis)""]",5
